annotation,sleep_count,duration,durationHr
sleep_quiet,0,2015.0,0.5597222222222222
sleep_quiet,1,,
sleep_quiet,0,2612.0,0.7255555555555555
sleep_quiet,1,,
sleep_quiet,0,2807.0,0.7797222222222222
sleep_quiet,1,,
sleep_quiet,0,15248.0,4.235555555555556
sleep_quiet,1,,
sleep_quiet,0,13110.0,3.6416666666666666
sleep_quiet,1,,
sleep_quiet,0,22897.0,6.360277777777778
sleep_quiet,1,,
sleep_quiet,0,8599.0,2.388611111111111
sleep_quiet,1,,
sleep_quiet,0,17083.0,4.745277777777778
sleep_quiet,1,,
sleep_quiet,0,2557.0,0.7102777777777778
sleep_quiet,1,,
sleep_quiet,0,1870.0,0.5194444444444445
sleep_quiet,1,,
sleep_quiet,0,4618.0,1.2827777777777778
sleep_quiet,1,,
sleep_quiet,0,17961.0,4.989166666666667
sleep_quiet,1,,
sleep_quiet,0,6792.0,1.8866666666666667
sleep_quiet,1,,
sleep_quiet,0,9642.0,2.6783333333333332
sleep_quiet,1,,
sleep_quiet,0,17031.0,4.730833333333333
sleep_quiet,1,,
sleep_quiet,0,6768.0,1.88
sleep_quiet,1,,
sleep_quiet,0,29307.0,8.140833333333333
sleep_quiet,1,,
sleep_quiet,0,8758.0,2.432777777777778
sleep_quiet,1,,
sleep_quiet,0,20505.0,5.695833333333334
sleep_quiet,1,,
sleep_quiet,0,17145.0,4.7625
sleep_quiet,1,,
sleep_quiet,0,7218.0,2.005
sleep_quiet,1,,
sleep_quiet,0,5844.0,1.6233333333333333
sleep_quiet,1,,
sleep_quiet,0,9905.0,2.751388888888889
sleep_quiet,1,,
sleep_quiet,0,20229.0,5.619166666666667
sleep_quiet,1,,
sleep_quiet,0,4769.0,1.3247222222222221
sleep_quiet,1,,
sleep_quiet,0,3261.0,0.9058333333333334
sleep_quiet,1,,
sleep_quiet,0,19216.0,5.337777777777778
sleep_quiet,1,,
sleep_quiet,0,20167.0,5.601944444444444
sleep_quiet,1,,
sleep_quiet,0,7771.0,2.158611111111111
sleep_quiet,1,,
sleep_quiet,0,3036.0,0.8433333333333334
sleep_quiet,1,,
sleep_quiet,0,18438.0,5.121666666666667
sleep_quiet,1,,
sleep_quiet,0,9046.0,2.512777777777778
sleep_quiet,1,,
sleep_quiet,0,2508.0,0.6966666666666667
sleep_quiet,1,,
sleep_quiet,0,7837.0,2.1769444444444446
sleep_quiet,1,,
sleep_quiet,0,2752.0,0.7644444444444445
sleep_quiet,1,,
sleep_quiet,0,23529.0,6.535833333333334
sleep_quiet,1,,
sleep_quiet,0,2089.0,0.5802777777777778
sleep_quiet,1,,
sleep_quiet,0,3419.0,0.9497222222222222
sleep_quiet,1,,
sleep_quiet,0,27397.0,7.610277777777778
sleep_quiet,1,,
sleep_quiet,0,4970.0,1.3805555555555555
sleep_quiet,1,,
sleep_quiet,0,22785.0,6.329166666666667
sleep_quiet,1,,
sleep_quiet,0,2061.0,0.5725
sleep_quiet,1,,
sleep_quiet,0,2190.0,0.6083333333333333
sleep_quiet,1,,
sleep_quiet,0,11573.0,3.214722222222222
sleep_quiet,1,,
sleep_quiet,0,23558.0,6.543888888888889
sleep_quiet,1,,
sleep_quiet,0,2059.0,0.5719444444444445
sleep_quiet,1,,
sleep_quiet,0,5946.0,1.6516666666666666
sleep_quiet,1,,
sleep_quiet,0,22419.0,6.2275
sleep_quiet,1,,
sleep_quiet,0,28428.0,7.8966666666666665
sleep_quiet,1,,
sleep_quiet,0,2953.0,0.8202777777777778
sleep_quiet,1,,
sleep_quiet,0,8281.0,2.3002777777777776
sleep_quiet,1,,
sleep_quiet,0,21360.0,5.933333333333334
sleep_quiet,1,,
sleep_quiet,0,3530.0,0.9805555555555555
sleep_quiet,1,,
sleep_quiet,0,34765.0,9.656944444444445
sleep_quiet,1,,
sleep_quiet,0,16930.0,4.7027777777777775
sleep_quiet,1,,
sleep_quiet,0,2022.0,0.5616666666666666
sleep_quiet,1,,
sleep_quiet,0,9806.0,2.723888888888889
sleep_quiet,1,,
sleep_quiet,0,1811.0,0.5030555555555556
sleep_quiet,1,,
sleep_quiet,0,4448.0,1.2355555555555555
sleep_quiet,1,,
sleep_quiet,0,31564.0,8.767777777777777
sleep_quiet,1,,
sleep_quiet,0,5340.0,1.4833333333333334
sleep_quiet,1,,
sleep_quiet,0,18686.0,5.190555555555555
sleep_quiet,1,,
sleep_quiet,0,5412.0,1.5033333333333334
sleep_quiet,1,,
sleep_quiet,0,1975.0,0.5486111111111112
sleep_quiet,1,,
sleep_quiet,0,20836.0,5.7877777777777775
sleep_quiet,1,,
sleep_quiet,0,4103.0,1.1397222222222223
sleep_quiet,1,,
sleep_quiet,0,2051.0,0.5697222222222222
sleep_quiet,1,,
sleep_quiet,0,1986.0,0.5516666666666666
sleep_quiet,1,,
sleep_quiet,0,30114.0,8.365
sleep_quiet,1,,
sleep_quiet,0,4498.0,1.2494444444444444
sleep_quiet,1,,
sleep_quiet,0,2300.0,0.6388888888888888
sleep_quiet,1,,
sleep_quiet,0,31148.0,8.652222222222223
sleep_quiet,1,,
sleep_quiet,0,2478.0,0.6883333333333334
sleep_quiet,1,,
sleep_quiet,0,11889.0,3.3025
sleep_quiet,1,,
sleep_quiet,0,9499.0,2.638611111111111
sleep_quiet,1,,
sleep_quiet,0,4320.0,1.2
sleep_quiet,1,,
sleep_quiet,0,12862.0,3.5727777777777776
sleep_quiet,1,,
sleep_quiet,0,2549.0,0.7080555555555555
sleep_quiet,1,,
sleep_quiet,0,5189.0,1.4413888888888888
sleep_quiet,1,,
sleep_quiet,0,2060.0,0.5722222222222222
sleep_quiet,1,,
sleep_quiet,0,25831.0,7.175277777777778
sleep_quiet,1,,
sleep_quiet,0,5826.0,1.6183333333333334
sleep_quiet,1,,
sleep_quiet,0,10874.0,3.0205555555555557
sleep_quiet,1,,
sleep_quiet,0,2023.0,0.5619444444444445
sleep_quiet,1,,
sleep_quiet,0,17767.0,4.935277777777777
sleep_quiet,1,,
sleep_quiet,0,2742.0,0.7616666666666667
sleep_quiet,1,,
sleep_quiet,0,9754.0,2.7094444444444443
sleep_quiet,1,,
sleep_quiet,0,19579.0,5.438611111111111
sleep_quiet,1,,
sleep_quiet,0,1998.0,0.555
sleep_quiet,1,,
sleep_quiet,0,30980.0,8.605555555555556
sleep_quiet,1,,
sleep_quiet,0,1977.0,0.5491666666666667
sleep_quiet,1,,
