2017-01-16T17:50:17.385;toilet;1;
2017-01-16T18:07:28.535;toilet;0;1031
2017-01-16T18:08:13.150;toilet;1;
2017-01-16T18:09:06.251;toilet;0;53
2017-01-17T10:23:31.932;toilet;1;
2017-01-17T10:25:16.293;toilet;0;104
2017-01-17T10:53:14.922;toilet;1;
2017-01-17T10:54:27.746;toilet;0;72
2017-02-22T15:31:19.937;toilet;1;
2017-02-22T15:31:50.591;toilet;0;30
2017-02-22T15:34:16.045;toilet;1;
2017-02-22T15:34:46.695;toilet;0;30
2017-02-22T16:20:07.699;toilet;1;
2017-02-22T16:23:11.338;toilet;0;183
2017-02-22T19:47:27.423;toilet;1;
2017-02-22T19:50:29.224;toilet;0;181
2017-02-22T21:00:22.220;toilet;1;
2017-02-22T21:03:51.253;toilet;0;209
2017-02-22T23:16:48.083;toilet;1;
2017-02-22T23:20:23.759;toilet;0;215
2017-02-23T07:30:29.106;toilet;1;
2017-02-23T07:37:34.439;toilet;0;425
2017-02-23T08:28:07.155;toilet;1;
2017-02-23T08:29:47.739;toilet;0;100
2017-02-23T08:30:20.611;toilet;1;
2017-02-23T08:32:08.254;toilet;0;107
2017-02-23T08:52:10.525;toilet;1;
2017-02-23T08:52:49.872;toilet;0;39
2017-02-23T09:02:31.072;toilet;1;
2017-02-23T09:03:24.995;toilet;0;53
2017-02-23T09:05:02.011;toilet;1;
2017-02-23T09:05:32.715;toilet;0;30
2017-02-23T09:22:13.296;toilet;1;
2017-02-23T09:23:48.028;toilet;0;94
2017-02-23T10:05:14.056;toilet;1;
2017-02-23T10:10:18.762;toilet;0;304
2017-02-23T11:02:14.599;toilet;1;
2017-02-23T11:03:36.537;toilet;0;81
2017-02-23T16:12:06.812;toilet;1;
2017-02-23T16:15:51.244;toilet;0;224
2017-02-23T18:23:57.290;toilet;1;
2017-02-23T18:24:27.876;toilet;0;30
2017-02-23T18:44:02.579;toilet;1;
2017-02-23T18:48:00.776;toilet;0;238
2017-02-23T18:59:54.241;toilet;1;
2017-02-23T19:00:24.977;toilet;0;30
2017-02-23T20:39:57.142;toilet;1;
2017-02-23T20:43:32.436;toilet;0;215
2017-02-23T23:38:03.351;toilet;1;
2017-02-23T23:40:43.923;toilet;0;160
2017-02-24T06:13:58.922;toilet;1;
2017-02-24T06:18:16.942;toilet;0;258
2017-02-24T08:04:51.871;toilet;1;
2017-02-24T08:05:22.607;toilet;0;30
2017-02-24T08:07:02.017;toilet;1;
2017-02-24T08:07:32.270;toilet;0;30
2017-02-24T09:48:41.851;toilet;1;
2017-02-24T09:49:29.042;toilet;0;47
2017-02-24T09:54:11.918;toilet;1;
2017-02-24T09:55:01.447;toilet;0;49
2017-02-24T13:08:35.045;toilet;1;
2017-02-24T13:11:38.761;toilet;0;183
2017-02-24T19:21:17.710;toilet;1;
2017-02-24T19:27:14.594;toilet;0;356
2017-02-24T22:40:15.379;toilet;1;
2017-02-24T22:42:55.202;toilet;0;159
2017-02-25T03:09:34.983;toilet;1;
2017-02-25T03:14:48.261;toilet;0;313
2017-02-25T03:15:47.647;toilet;1;
2017-02-25T03:16:55.077;toilet;0;67
